事業ID,事業名,府省庁,証拠準備度（0〜4）,証拠信頼度（0〜1）,政策効果スコア（0〜100）,政策価値スコア（0〜100）,廃止優先度（0〜100）,推奨アクション,現在の判定状態,不足データ
1548,義務教育費国庫負担金に必要な経費,文部科学省,2,0.90,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
1586,国立大学法人の運営に必要な経費,文部科学省,2,0.90,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
1644,科学研究費助成事業,文部科学省,3,0.95,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
1818,国宝・重要文化財等の保存整備等,文化庁,2,0.90,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
1536,高校生等への修学支援,文部科学省,2,0.95,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
7463,断熱窓への改修促進等による住宅の省エネ・省CO2加速化支援事業(経済産業省・国土交通省連携事業),環境省,3,0.97,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
1097,無償資金協力,外務省,1,0.95,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
5389,米軍再編関係経費,防衛省,1,0.94,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
5092,戦闘機(Fー35A/B)の取得,防衛省,1,0.95,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
4,情報システムの整備(情報通信技術調達等適正・効率化推進費),デジタル庁,2,0.96,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
20629,医療安全の更なる向上・物流DXの推進に資する製品DBの構築事業,厚生労働省,2,0.96,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
21741,建設機械等の自動施工技術の導入,国土交通省,2,0.95,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
365,総合的な特殊詐欺対策の推進,警察庁,2,0.96,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
6469,こども若者の意見のこども施策への意見反映,こども家庭庁,2,0.95,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
1835,日本芸術院会員年金の支給等に必要な経費,文化庁,2,0.94,,,,EVIDENCE_REQUIRED,判定不能,3-1成果目標・実績、3-2効果発現経路、4-1点検・評価、比較対象、費用対効果
