company,company_key,fiscal_start,fiscal_end,employees_nonconsolidated,temporary_employees_separately_reported,average_annual_salary_jpy,average_age,average_tenure_years,source_salary_unit,pdf_page,source_url,employee_definition_changed,tax_legal_employee_count,wage_tax_credit_jpy
プレス工業,press,2024-04-01,2025-03-31,1766,,7025861,41.2,19.2,円,8,https://ssl4.eir-parts.net/doc/7246/yuho_pdf/S100W4F1/00.pdf,False,,
日本精機,seiki,2022-04-01,2023-03-31,1640,,5921000,43.6,18.8,千円,14,https://www.nippon-seiki.co.jp/wp-content/uploads/yuho2023.pdf,False,,
日本精機,seiki,2023-04-01,2024-03-31,1606,,5792000,43.5,18.3,千円,14,https://www.nippon-seiki.co.jp/wp-content/uploads/yuho2024.pdf,False,,
日本精機,seiki,2024-04-01,2025-03-31,1578,,6038000,43.5,18.0,千円,14,https://www.nippon-seiki.co.jp/wp-content/uploads/yuho2025.pdf,False,,
高砂熱学工業,takasago,2022-04-01,2023-03-31,2166,,9448000,42.2,15.5,千円,9,https://ssl4.eir-parts.net/doc/1969/yuho_pdf/S100R30N/00.pdf,False,,
高砂熱学工業,takasago,2023-04-01,2024-03-31,2230,,10285000,42.2,15.5,千円,12,https://ssl4.eir-parts.net/doc/1969/yuho_pdf/S100TNK2/00.pdf,False,,
高砂熱学工業,takasago,2024-04-01,2025-03-31,2365,,11291000,41.6,15.0,千円,10,https://ssl4.eir-parts.net/doc/1969/yuho_pdf/S100VYJS/00.pdf,False,,
東光高岳,tktk,2022-04-01,2023-03-31,1866,,6468000,44.4,20.1,千円,8,https://ssl4.eir-parts.net/doc/6617/yuho_pdf/S100R9QM/00.pdf,False,,
東光高岳,tktk,2023-04-01,2024-03-31,1833,,6476000,44.1,19.7,千円,8,https://ssl4.eir-parts.net/doc/6617/yuho_pdf/S100TWMX/00.pdf,False,,
東光高岳,tktk,2024-04-01,2025-03-31,1849,,6756000,43.9,19.6,千円,8,https://ssl4.eir-parts.net/doc/6617/yuho_pdf/S100W7GC/00.pdf,False,,
トピー工業,topy,2022-04-01,2023-03-31,1774,,6388904,41.7,18.1,円,11,https://data.swcms.net/file/corp-topy/dam/jcr:2129c11b-4447-4bbe-b0d3-b418ff4cb2f4/S100R3BF.pdf,False,,
トピー工業,topy,2023-04-01,2024-03-31,1764,,6703061,41.6,17.9,円,11,https://data.swcms.net/file/corp-topy/dam/jcr:0ca73f78-948b-49c4-a6c8-8566a26be897/S100TPYF.pdf,False,,
トピー工業,topy,2024-04-01,2025-03-31,1767,,7131654,41.6,17.7,円,11,https://data.swcms.net/file/corp-topy/dam/jcr:767d6a6e-d298-4bd3-b7bf-f5793038a21d/S100W2NQ.pdf,False,,
テイ・エス テック,ts,2022-04-01,2023-03-31,1710,315,6969104,41.0,17.9,円,10,https://ssl4.eir-parts.net/doc/7313/yuho_pdf/S100R173/00.pdf,False,,
テイ・エス テック,ts,2023-04-01,2024-03-31,1660,366,7248226,41.0,17.7,円,10,https://ssl4.eir-parts.net/doc/7313/yuho_pdf/S100TNH4/00.pdf,False,,
テイ・エス テック,ts,2024-04-01,2025-03-31,1634,481,7594471,41.1,17.5,円,10,https://ssl4.eir-parts.net/doc/7313/yuho_pdf/S100VZ5K/00.pdf,False,,
